Date,TWSEMarginMaintenanceRate_IncludeETF,TWSEMarginMaintenanceRate_ExcludeETF,TWSEMarginMarketValueK_IncludeETF,TWSEMarginMarketValueK_ExcludeETF,TWSEETFMarginMarketValueK,TWSETotalMarginAmountK,TPEXMarginMaintenanceRate_IncludeETF,TPEXMarginMaintenanceRate_ExcludeETF,TPEXMarginMarketValueK_IncludeETF,TPEXMarginMarketValueK_ExcludeETF,TPEXETFMarginMarketValueK,TPEXTotalMarginAmountK,CombinedMarginMaintenanceRate_IncludeETF,CombinedMarginMaintenanceRate_ExcludeETF,CombinedMarginMarketValueK_IncludeETF,CombinedMarginMarketValueK_ExcludeETF,CombinedETFMarginMarketValueK,CombinedTotalMarginAmountK,Status
2012-01-02,140.91981520304077,139.81616483085577,275023575.69,272869656.65999997,2153919.030000031,195163168.0,152.99076306260162,152.98082126571333,52971402.47,52967960.23,3442.240000002086,34623922.0,142.73864478635417,141.7997925340366,327994978.15999997,325837616.89,2157361.269999981,229787090.0,ok
2012-01-03,143.4780959103324,142.39290349956067,278236289.02,276131856.93000007,2104432.089999914,193922485.0,155.18444639513942,155.17435235856783,53650823.050000004,53647333.31,3489.740000002086,34572294.0,145.24931970983897,144.32679454789644,331887112.07,329779190.24000007,2107921.8299999237,228494779.0,ok
2012-01-04,144.11254361818777,143.0453059381547,277742874.03,275686025.59000003,2056848.439999938,192726370.0,156.63505911584997,156.624685112453,53995593.14,53992016.99,3576.14999999851,34472227.0,146.01255093577888,145.10566831537258,331738467.16999996,329678042.58000004,2060424.5899999142,227198597.0,ok
2012-01-05,145.42164257377232,144.37148969730762,279327210.03,277310066.86,2017143.169999957,192080907.0,158.15046425187964,158.14044860170063,54488022.269999996,54484571.55,3450.719999998808,34453280.0,147.3575519530745,146.46559214923263,333815232.29999995,331794638.41,2020593.889999926,226534187.0,ok
2012-01-06,145.3626462097802,144.32616007438733,278579390.05,276593022.28,1986367.7700000405,191644413.0,159.2052017649708,159.1950859574509,54837131.64,54833647.32,3484.320000000298,34444309.0,147.47154070338811,146.59142069014834,333416521.69,331426669.59999996,1989852.0900000334,226088722.0,ok
2012-01-09,144.0392555387717,142.97950330554454,274998628.92999995,272975358.19,2023270.73999995,190919224.0,157.16836782763082,157.15808736607386,53932166.68000001,53928638.95,3527.7300000041723,34314899.0,146.03950379667825,145.13964082609277,328930795.60999995,326903997.14,2026798.469999969,225234123.0,ok
2012-01-10,145.58861392710975,144.5568845608335,276358128.27,274399686.68,1958441.5899999738,189821251.0,157.63379327281007,157.62363378135484,53964348.06,53960870.06,3478.0,34233997.0,147.42902890183584,146.55338791260982,330322476.33,328360556.74,1961919.5899999738,224055248.0,ok
2012-01-11,146.15268825565462,145.1050116923669,274942679.76,272971788.87,1970890.8899999857,188120166.0,159.1691809645806,159.15993930094916,54275703.86,54272552.51,3151.35000000149,34099380.0,148.15005680013405,147.2617270939794,329218383.62,327244341.38,1974042.2400000095,222219546.0,ok
2012-01-12,145.16789179503022,144.1466784954142,269439517.37,267544089.83999997,1895427.530000031,185605449.0,158.2521086513388,158.24462642422762,53422107.5,53419581.68,2525.820000000298,33757596.0,147.18141101205083,146.31619994151703,322861624.87,320963671.52,1897953.3500000238,219363045.0,ok
2012-01-13,143.94805882259217,142.93568281902307,260561031.92,258728525.54,1832506.3799999952,181010452.0,156.65799120761181,156.6535734510434,52237574.27,52236101.17,1473.1000000014901,33344979.0,145.92520690086923,145.06962816818017,312798606.19,310964626.71,1833979.480000019,214355431.0,ok
2012-01-16,144.0285717578765,143.00073090994837,261173115.98000002,259309288.58999997,1863827.3900000453,181334240.0,158.06384772718215,158.05982375823456,52463147.150000006,52461811.550000004,1335.6000000014901,33191111.0,146.20009321415816,145.33065611439088,313636263.13,311771100.14,1865162.9900000095,214525351.0,ok
2012-01-17,148.20143978247472,147.17785842398183,267030788.79000002,265186489.99,1844298.800000012,180180968.0,163.36312696913484,163.35908666118536,54093737.940000005,54092400.09,1337.8500000014901,33112575.0,150.55520303772158,149.6898994640452,321124526.73,319278890.08000004,1845636.6499999762,213293543.0,ok
2012-01-18,148.0225660987407,147.01794442113092,260222414.48999998,258456298.11,1766116.3799999654,175799151.0,164.64760849035753,164.64364053772596,53750119.0,53748823.64,1295.359999999404,32645551.0,150.6262958364852,149.77839146518582,313972533.49,312205121.75,1767411.7400000095,208444702.0,ok
2012-01-19,,,,,,,,,,,,,,,,,,,data unavailable: TWSE MI_MARGN total 20120119: missing tables (keys=stat; stat='很抱歉，沒有符合條件的資料')
