Date,TWSEMarginMaintenanceRate_IncludeETF,TWSEMarginMaintenanceRate_ExcludeETF,TWSEMarginMarketValueK_IncludeETF,TWSEMarginMarketValueK_ExcludeETF,TWSEETFMarginMarketValueK,TWSETotalMarginAmountK,TPEXMarginMaintenanceRate_IncludeETF,TPEXMarginMaintenanceRate_ExcludeETF,TPEXMarginMarketValueK_IncludeETF,TPEXMarginMarketValueK_ExcludeETF,TPEXETFMarginMarketValueK,TPEXTotalMarginAmountK,CombinedMarginMaintenanceRate_IncludeETF,CombinedMarginMaintenanceRate_ExcludeETF,CombinedMarginMarketValueK_IncludeETF,CombinedMarginMarketValueK_ExcludeETF,CombinedETFMarginMarketValueK,CombinedTotalMarginAmountK,TWIIOpen,TWIIHigh,TWIILow,TWIIClose,TWIIVolume,MacroMicroOldMarginMaintenanceRate,Status
2021-01-01,,,,,,,,,,,,,,,,,,,,,,,,,data unavailable: TWSE MI_MARGN total 20210101: missing tables (keys=stat; stat='很抱歉，沒有符合條件的資料')
2021-01-04,178.962323,171.759035,340560013.4,326852370.61,13707642.79,190297046.0,178.788479,178.59622,114042190.71,113919556.49,122634.22,63786096.0,178.91868,173.475471,454602204.11,440771927.1,13830277.01,254083142.0,14720.25,14937.13,14720.25,14902.03,,172.0,ok
2021-01-05,179.509217,172.344783,342491892.17,328822619.65,13669272.52,190793486.0,178.627693,178.446106,114724085.93,114607461.27,116624.66,64225252.0,179.287209,173.881372,457215978.1,443430080.92,13785897.18,255018738.0,14913.64,15000.03,14861.99,15000.03,,172.6,ok
2021-01-06,177.15637,169.735383,334625401.22,320608118.5,14017282.72,188887027.0,175.537642,175.37471,111855069.13,111751246.45,103822.68,63721415.0,176.74804,171.157924,446480470.35,432359364.95,14121105.4,252608442.0,15145.85,15197.68,14837.0,14983.13,,170.0,ok
2021-01-07,178.019654,170.740296,341526061.32,327560803.82,13965257.5,191847391.0,178.010124,177.856358,115118974.66,115019533.99,99440.67,64669903.0,178.017251,172.534308,456645035.98,442580337.81,14064698.17,256517294.0,15059.52,15270.4,15049.86,15214.0,,171.0,ok
2021-01-08,178.488969,171.124697,344072577.1,329876494.82,14196082.28,192769659.0,177.863483,177.699678,115533607.07,115427205.03,106402.04,64956339.0,178.331324,172.781832,459606184.17,445303699.85,14302484.32,257725998.0,15365.13,15463.95,15275.38,15463.95,,171.4,ok
2021-01-11,180.092558,172.598372,350721151.68,336126603.26,14594548.42,194744944.0,179.208821,179.051812,116870998.26,116768605.02,102393.24,65214981.0,179.870859,174.217318,467592149.94,452895208.28,14696941.66,259959925.0,15425.58,15557.3,15395.73,15557.3,,172.9,ok
2021-01-12,176.458243,168.716776,337930822.89,323105330.09,14825492.8,191507530.0,175.324202,175.172635,111890969.59,111794240.16,96729.43,63819466.0,176.174787,170.33043,449821792.48,434899570.25,14922222.23,255326996.0,15549.53,15642.03,15421.23,15500.7,,169.0,ok
2021-01-13,179.047241,171.468417,349522722.55,334727904.39,14794818.16,195212571.0,178.414491,178.278359,115360394.14,115272372.99,88021.15,64658646.0,178.889806,173.162801,464883116.69,450000277.38,14882839.31,259871217.0,15550.16,15778.52,15550.16,15769.98,,171.8,ok
2021-01-14,179.934898,172.524457,357485479.19,342762791.53,14722687.66,198674900.0,178.777949,178.646144,115775904.28,115690548.22,85356.06,64759611.0,179.650488,174.02934,473261383.47,458453339.75,14808043.72,263434511.0,15651.2,15760.15,15620.96,15707.19,,172.8,ok
2021-01-15,176.125585,168.327846,344221532.73,328981556.05,15239976.68,195440959.0,175.15879,175.027737,110935462.28,110852460.54,83001.74,63334225.0,175.888966,169.967618,455156995.01,439834016.59,15322978.42,258775184.0,15987.16,16041.59,15615.11,15616.39,,168.7,ok
2021-01-18,176.396965,168.720702,345628940.45,330588213.48,15040726.97,195938145.0,176.595515,176.464109,112259974.86,112176441.27,83533.59,63568984.0,176.445602,170.61753,457888915.31,442764654.75,15124260.56,259507129.0,15676.45,15676.45,15320.97,15612.0,,169.1,ok
2021-01-19,177.577471,169.863451,351653062.17,336377145.8,15275916.37,198027971.0,176.030129,175.909047,111695351.95,111618522.61,76829.34,63452406.0,177.201983,171.330512,463348414.12,447995668.41,15352745.71,261480377.0,15716.64,15928.14,15716.64,15877.37,,170.2,ok
2021-01-20,172.960545,165.083697,334214978.32,318994393.37,15220584.95,193231918.0,170.713419,170.582232,105279584.93,105198681.4,80903.53,61670363.0,172.416881,166.413997,439494563.25,424193074.77,15301488.48,254902281.0,15934.85,16004.32,15745.48,15806.18,,168.4,ok
2021-01-21,175.622406,168.093837,342007671.83,327346512.27,14661159.56,194740341.0,171.626157,171.493451,107098875.14,107016063.42,82811.72,62402420.0,174.652611,168.918843,449106546.97,434362575.69,14743971.28,257142761.0,15775.73,16238.46,15775.73,16153.77,,168.6,ok
2021-01-22,178.30716,170.778074,352642603.1,337752138.66,14890464.44,197772542.0,175.461588,175.336974,110879755.33,110801007.81,78747.52,63193179.0,177.618101,171.882018,463522358.43,448553146.47,14969211.96,260965721.0,15984.89,16138.04,15973.02,16019.03,,171.3,ok
2021-01-25,178.16364,171.035182,355625232.41,341396404.17,14228828.24,199605953.0,175.513316,175.387305,111090861.99,111011103.38,79758.61,63294834.0,177.52556,172.08298,466716094.4,452407507.55,14308586.85,262900787.0,16006.21,16014.96,15772.63,15946.54,,167.8,ok
2021-01-26,174.043677,166.601783,344905816.34,330158067.35,14747748.99,198171989.0,173.121067,172.985742,108297723.87,108213069.91,84653.96,62556063.0,173.822317,168.133476,453203540.21,438371137.26,14832402.95,260728052.0,15955.16,16023.87,15589.21,15658.85,,167.1,ok
2021-01-27,175.085071,167.694438,351940378.59,337084388.44,14855990.15,201011072.0,174.960185,174.830301,110740664.32,110658454.53,82209.79,63294780.0,175.055164,169.403303,462681042.91,447742842.97,14938199.94,264305852.0,15711.76,15837.47,15642.12,15701.45,,168.2,ok
2021-01-28,172.324261,164.879134,345142682.24,330231078.35,14911603.89,200286762.0,171.254005,171.11987,108041718.34,107957094.37,84623.97,63088579.0,172.067893,166.374031,453184400.58,438188172.72,14996227.86,263375341.0,15519.85,15557.02,15367.45,15415.88,,165.4,ok
2021-01-29,169.258417,161.758782,335456559.5,320592885.38,14863674.12,198191951.0,167.599403,167.464939,104731898.02,104647872.26,84025.76,62489422.0,168.860725,163.126637,440188457.52,425240757.64,14947699.88,260681373.0,15544.36,15603.41,15138.31,15138.31,,162.2,ok
2021-02-01,170.500048,162.975491,334785017.92,320010189.26,14774828.66,196354794.0,167.480814,167.343512,103799368.12,103714272.86,85095.26,61976871.0,169.775697,164.023432,438584386.04,423724462.12,14859923.92,258331665.0,15176.56,15429.98,15089.96,15410.09,,163.5,ok
2021-02-02,174.036008,166.509464,339034487.02,324372244.35,14662242.67,194807092.0,170.322406,170.177035,105088300.82,104998607.98,89692.84,61699634.0,173.142746,167.391654,444122787.84,429370852.33,14751935.51,256506726.0,15546.69,15838.15,15546.69,15760.05,,167.0,ok
2021-02-03,174.260687,166.789568,338879678.8,324350811.06,14528867.74,194467085.0,169.781741,169.632432,104163473.6,104071869.99,91603.61,61351399.0,173.186529,167.471355,443043152.4,428422681.05,14620471.35,255818484.0,15828.64,15896.4,15741.16,15771.32,,167.3,ok
2021-02-04,173.715256,166.480834,335993540.99,322000993.59,13992547.4,193416254.0,169.148401,168.986271,103180272.33,103081373.76,98898.57,60999851.0,172.620288,167.081548,439173813.32,425082367.35,14091445.97,254416105.0,15697.75,15801.37,15606.74,15706.22,,167.0,ok
2021-02-05,174.585337,167.783098,331629457.59,318708425.83,12921031.76,189952641.0,168.766088,168.593129,102179574.74,102074856.87,104717.87,60545087.0,173.178829,167.978882,433809032.33,420783282.7,13025749.63,250497728.0,15805.76,15938.09,15774.34,15802.4,,168.3,ok
2021-02-08,,,,,,,,,,,,,,,,,,,,,,,,,data unavailable: TWSE MI_MARGN total 20210208: missing tables (keys=stat; stat='很抱歉，沒有符合條件的資料')
2021-02-09,,,,,,,,,,,,,,,,,,,,,,,,,data unavailable: TWSE MI_MARGN total 20210209: missing tables (keys=stat; stat='很抱歉，沒有符合條件的資料')
2021-02-10,,,,,,,,,,,,,,,,,,,,,,,,,data unavailable: TWSE MI_MARGN total 20210210: missing tables (keys=stat; stat='很抱歉，沒有符合條件的資料')
2021-02-11,,,,,,,,,,,,,,,,,,,,,,,,,data unavailable: TWSE MI_MARGN total 20210211: missing tables (keys=stat; stat='很抱歉，沒有符合條件的資料')
2021-02-12,,,,,,,,,,,,,,,,,,,,,,,,,data unavailable: TWSE MI_MARGN total 20210212: missing tables (keys=stat; stat='很抱歉，沒有符合條件的資料')
2021-02-15,,,,,,,,,,,,,,,,,,,,,,,,,data unavailable: TWSE MI_MARGN total 20210215: missing tables (keys=stat; stat='很抱歉，沒有符合條件的資料')
2021-02-16,,,,,,,,,,,,,,,,,,,,,,,,,data unavailable: TWSE MI_MARGN total 20210216: missing tables (keys=stat; stat='很抱歉，沒有符合條件的資料')
2021-02-17,180.185363,173.511982,347846018.42,334963123.65,12882894.77,193048987.0,174.713427,174.53078,107318187.03,107205995.92,112191.11,61425266.0,178.864541,173.757901,455164205.45,442169119.57,12995085.88,254474253.0,16197.45,16406.78,16197.45,16362.29,,174.1,ok
2021-02-18,182.32501,175.465726,358127148.66,344653978.31,13473170.35,196422393.0,177.647057,177.461565,110701795.75,110586205.39,115590.36,62315581.0,181.198352,175.946413,468828944.41,455240183.7,13588760.71,258737974.0,16366.23,16517.73,16323.22,16424.51,,176.0,ok
2021-02-19,182.173522,175.201689,363805253.68,349882322.15,13922931.53,199702597.0,179.535407,179.357004,113730701.82,113617688.48,113013.34,63347227.0,181.538215,176.202365,477535955.5,463500010.63,14035944.87,263049824.0,16376.91,16382.7,16211.25,16341.38,,175.7,ok
