Date,TWSEAllMarketKeepRate
2026-08-03,178.76
2026-08-04,183.79
2026-08-05,188.39
2026-08-06,190.16
2026-08-07,186.75
2026-08-10,191.28
2026-08-11,191.61
2026-08-12,194.14
2026-08-13,195.86
2026-08-14,194.09
2026-08-17,194.71
2026-08-18,190.49
2026-08-19,187.84
2026-08-20,189.47
2026-08-21,188.71
2026-08-24,186.90
2026-08-25,188.96
2026-08-26,193.22
2026-08-27,194.80
2026-08-28,195.84
2026-08-31,194.31
2026-09-01,196.28
2026-09-02,193.15
2026-09-03,187.71
2026-09-04,191.56
2026-09-07,193.08
2026-09-08,190.82
2026-09-09,192.03
2026-09-10,190.91
2026-09-11,186.74
2026-09-14,185.50
2026-09-15,182.62
2026-09-16,186.71
2026-09-17,186.58
2026-09-18,192.02
2026-09-21,193.11
2026-09-22,193.92
